number,value,ELITE_SIZE,POP_SIZE,P_CROSSOVER_MAX,P_CROSSOVER_MIN,crossover_type,k,mutation_rate,rosenbrock_mean,salomon_mean,whitley_mean
502,25.024622631026734,4,30,0.7949430605239425,0.20492921723223836,two_point,4,0.017998981862595506,18.678256538620065,0.31987335173004894,56.0757380027301
1370,25.031436619592384,2,30,0.7829151274582137,0.26778716462728963,one_point,2,0.01203733414579164,13.40777689591626,0.2398733473952323,61.44665961546566
592,25.057673669596596,4,22,0.8250148267205285,0.14187777588398218,two_point,3,0.006495886145121784,13.509898158333176,0.31987335183254967,61.34324949862406
505,25.058140147440273,6,30,0.8181317925765413,0.20916607631787457,two_point,4,0.010419574154734582,13.410009217370268,0.29987334661437315,61.46453787833618
304,25.063089790449435,0,24,0.8201917617131403,0.2792207507279015,two_point,3,0.011005499330267,19.14228704689226,0.2598733469584232,55.787108977497624
1358,25.06434197849344,4,26,0.8063180232914383,0.2648612377396175,one_point,2,0.008327871959429776,13.927131897401358,0.35987334639765306,60.906020691681306
1158,25.14332878078601,2,26,0.7821127140032254,0.26315704988487554,one_point,2,0.010427325694096067,14.338970601488862,0.27987337078320534,60.81114237008596
1145,25.172655457396758,2,26,0.793132828981898,0.26961190222421266,one_point,2,0.01475175294999571,13.498878519416781,0.2798733767359045,61.73921447603759
286,25.248863238741848,4,30,0.8405834558158607,0.13054301357103368,two_point,2,0.01389040895903486,14.62484855924956,0.2998733464918182,60.82186781048417
102,25.253634795565006,2,24,0.7969808851558041,0.2099106395696505,two_point,2,0.014064391957740313,14.063867394064113,0.3398733462400406,61.35716364639086
575,25.2607470421877,0,30,0.8041974376034522,0.14556082081359692,two_point,3,0.009602643593416784,18.184722091268245,0.21987334782190865,57.37764568747294
609,25.393905535733705,4,22,0.8265473635342199,0.1422475369242172,two_point,3,0.005884278837729596,13.913130442934015,0.37987334798275185,61.88871281628434
188,25.65619262646076,0,22,0.8341299859394459,0.13677851810358554,two_point,2,0.010367021659758306,13.779864036900396,0.2998733464978306,62.88884049598405
896,25.66743395032277,2,22,0.8181575834476329,0.2788462512555224,one_point,2,0.012345865972520641,13.576004302837003,0.27987334699411287,63.14642420113719
591,25.68277798866322,4,22,0.8261201653112211,0.14264257706756894,two_point,3,0.006436213648444262,13.73526265341572,0.3798733459845229,62.93319796658941
1368,25.69520897817992,2,26,0.7758392389180512,0.1481402145981529,one_point,2,0.012338421483193637,17.488856092835988,0.3398733464368312,59.25689749526695
366,25.78457352978153,4,30,0.8152039545484049,0.14650642392351057,two_point,2,0.008145956840294297,16.982432930870438,0.2998733476749027,60.07141431079924
988,25.814076882973726,4,20,0.8301831732617813,0.264563047495973,one_point,2,0.009862049962868595,13.756166908010865,0.25987334678989804,63.42619039412042
306,25.85336193609651,0,24,0.9064983131955363,0.21115309812859506,two_point,3,0.011471026704137698,14.198004639899134,0.27987334622837495,63.082207822162026
1146,25.892777820952915,2,26,0.791125990223052,0.268911631292459,one_point,2,0.013705497797261738,30.94827715689997,0.3198733495554596,46.41018295640332
31,26.116377890999757,2,24,0.8513495478382052,0.14889608143918653,two_point,3,0.01638273424084631,12.65641045750105,0.29987338257637663,65.39284983292184
919,26.120989428782703,2,30,0.7905600514950692,0.2711280754096027,one_point,2,0.016374089871548248,17.013641990013596,0.31987334726635036,61.02945294906816
337,26.150637695560118,0,24,0.8057851586885267,0.13272357879452634,two_point,3,0.00875651589665219,13.574136786028896,0.2598733461503744,64.61790295450108
1374,26.18210117078659,2,30,0.7719141439435245,0.23778270047237532,two_point,4,0.017903692718030648,14.02546504810439,0.279873346290492,64.24096511796489
1409,26.20787362506157,2,26,0.7905415058150446,0.18314629627674853,one_point,2,0.013674390466660758,18.14016267150721,0.3198733473095217,60.16358485636799
361,26.234803806396688,4,26,0.7971083296294778,0.12130669879830308,two_point,3,0.010195330805924123,17.00862573300886,0.259873346120857,61.43591234006035
714,26.33053866693925,2,22,0.8141618695680858,0.13690828067430344,two_point,2,0.013147044140973924,13.837954496438112,0.23987334694791845,64.91378815743172
1440,26.35175127564374,2,26,0.863164522361959,0.25190259272275567,one_point,2,0.007429370475818446,27.144397212047505,0.3598733459436103,51.5509832689401
393,26.440968742093904,4,30,0.8021582858061886,0.25459499369777056,two_point,3,0.012783716355558753,13.742049711499183,0.27987335230763144,65.3009831624749
1089,26.44224992922602,2,20,0.8216184087903288,0.2682509019758231,one_point,2,0.014278928474042798,13.502746356060758,0.2998733585637991,65.5241300730535
1434,26.503786276295056,2,26,0.7838031768775853,0.264626593142821,one_point,2,0.013905128520656517,13.646144876656638,0.2398733929744048,65.62534055925413
509,26.533927902079444,6,22,0.7113756862096804,0.27422763785972587,two_point,5,0.01035730980496789,26.317518909472767,0.33987334590740736,52.944391450858156
364,26.552944272444023,4,30,0.8022555717411913,0.25377742483173105,two_point,3,0.010206861377436195,26.7187840670447,0.2798733458728381,52.66017540441453
1454,26.726780369491753,2,26,0.7072406208876477,0.24806998646555078,uniform,2,0.00801751526905723,13.552282850255903,0.3198733471377318,66.30818491108163
1305,26.7356894637382,0,22,0.7634221294251166,0.2662777107630785,two_point,2,0.010688409811148478,13.821950437351216,0.2798733461685352,66.10524460769486
319,26.737697152662847,0,24,0.9053699307341286,0.22453183230298743,two_point,3,0.01633005696268079,13.839712945855812,0.2798733473328968,66.09350516479984
1131,26.739408153379106,2,26,0.7572103808636101,0.274253863881302,one_point,2,0.015710422998715376,13.956671572372949,0.2798733483399717,65.9816795394244
308,26.837924012256792,0,24,0.8210740718332742,0.13447194363222273,two_point,6,0.019899748528308565,13.663283368762933,0.27987334695045973,66.57061532105699
851,26.8743598108297,2,26,0.8211228747989534,0.28698624007549184,two_point,2,0.006276832231668315,37.99826904662734,0.29987334601960963,42.32493703984214
438,26.969554484588716,4,24,0.9007963306171171,0.13526401879317723,uniform,2,0.011736399128009034,13.96041012718714,0.31987334687319774,66.62837997970581
1413,26.97979452890991,2,22,0.7896397005753654,0.14345319579194207,one_point,2,0.010019749091575101,13.747689013435368,0.23987334592647636,66.95182122736789
523,26.99555235327664,6,22,0.7084792641257865,0.19923877127838946,two_point,5,0.01615167583554027,13.830834115185468,0.2398733469632648,66.91594959768119
709,27.021389852553792,4,30,0.8166517146058465,0.16058825901779086,one_point,2,0.013121686269820639,13.281249262611023,0.29987334593581144,67.48304694911454
691,27.05101463709242,0,26,0.8249866587845394,0.14827014098733243,two_point,4,0.01859395058953659,27.649272352080033,0.2998733465319944,53.20389821266523
1388,27.08230954423543,2,26,0.7778979586563944,0.26909186168726584,one_point,2,0.01639354013836885,13.065012743272892,0.23987334692748666,67.9420425425059
