1,125.541,2,4,2,0.871,0.17,2,,,,,,k,n_elites,,,,,,,id,val,cr_type,k,n_elites,p_max,p_min,pop_size
43,105.203,0,5,3,0.866,0.191,2,,,42,115.283,one_point,3,6,0.841,0.279,20,,,,611,73.88,one_point,3,6,0.835,0.295,24
44,85.193,0,5,3,0.864,0.191,0,,,43,105.203,one_point,5,6,0.866,0.191,24,,,,321,74.632,uniform,6,6,0.942,0.236,28
45,186.341,0,5,3,0.866,0.288,2,,,44,85.193,one_point,5,6,0.864,0.191,20,,,,804,74.655,one_point,5,6,0.947,0.244,26
46,112.66,0,5,3,0.864,0.216,2,,,45,186.341,one_point,5,6,0.866,0.288,24,,,,1086,74.785,one_point,5,6,0.935,0.224,26
47,88.183,0,5,3,0.863,0.187,2,,,46,112.66,one_point,5,6,0.864,0.216,24,,,,881,75.137,one_point,5,6,0.898,0.206,26
48,92.932,0,5,3,0.866,0.288,2,,,47,88.183,one_point,5,6,0.863,0.187,24,,,,1425,75.141,uniform,5,6,0.936,0.112,26
49,82.425,0,5,3,0.866,0.193,2,,,48,92.932,one_point,5,6,0.866,0.288,24,,,,307,75.385,one_point,6,6,0.939,0.242,28
50,13365.292,0,6,0,0.893,0.121,0,,,49,82.425,one_point,5,6,0.866,0.193,24,,,,323,75.402,uniform,6,6,0.95,0.244,28
51,12814.964,0,6,0,0.89,0.124,0,,,50,13365.292,one_point,6,0,0.893,0.121,20,,,,493,75.551,one_point,5,6,0.831,0.105,24
52,28638.704,1,5,0,0.852,0.118,0,,,51,12814.964,one_point,6,0,0.89,0.124,20,,,,737,75.725,two_point,5,6,0.946,0.1,26
53,19614.308,1,6,0,0.893,0.132,0,,,52,28638.704,two_point,5,0,0.852,0.118,20,,,,841,75.734,one_point,5,6,0.94,0.211,26
54,14916.386,1,6,0,0.887,0.136,0,,,53,19614.308,two_point,6,0,0.893,0.132,20,,,,122,75.987,one_point,6,6,0.851,0.299,22
55,14325.159,1,6,0,0.885,0.123,0,,,54,14916.386,two_point,6,0,0.887,0.136,20,,,,1347,76.155,one_point,5,6,0.943,0.243,30
56,16558.11,1,6,0,0.852,0.121,0,,,55,14325.159,two_point,6,0,0.885,0.123,20,,,,644,76.28,one_point,4,6,0.849,0.105,24
57,110.948,0,6,3,0.874,0.196,2,,,56,16558.11,two_point,6,0,0.852,0.121,20,,,,1202,76.295,two_point,4,6,0.914,0.111,24
58,120.671,0,6,3,0.874,0.195,2,,,57,110.948,one_point,6,6,0.874,0.196,24,,,,527,76.31,uniform,5,6,0.843,0.118,28
59,96.963,0,5,3,0.875,0.193,2,,,58,120.671,one_point,6,6,0.874,0.195,24,,,,1144,76.369,two_point,5,6,0.851,0.133,24
60,71.301,0,5,3,0.874,0.195,2,,,59,96.963,one_point,5,6,0.875,0.193,24,,,,465,76.391,two_point,4,6,0.825,0.108,28
61,144.843,0,5,3,0.875,0.205,2,,,60,71.301,one_point,5,6,0.874,0.195,24,,,,796,76.419,one_point,5,6,0.932,0.253,26
62,147.11,0,5,3,0.874,0.194,2,,,61,144.843,one_point,5,6,0.875,0.205,24,,,,433,76.461,two_point,5,6,0.832,0.118,28
63,107.578,0,5,3,0.875,0.2,2,,,62,147.11,one_point,5,6,0.874,0.194,24,,,,1250,76.502,one_point,5,6,0.917,0.233,26
64,98.933,0,5,3,0.856,0.207,4,,,63,107.578,one_point,5,6,0.875,0.2,24,,,,279,76.649,one_point,3,6,0.843,0.288,20
65,80.087,0,5,3,0.857,0.204,4,,,64,98.933,one_point,5,6,0.856,0.207,28,,,,1111,76.718,two_point,4,6,0.85,0.21,22
66,79.062,0,5,3,0.849,0.211,4,,,65,80.087,one_point,5,6,0.857,0.204,28,,,,567,76.794,two_point,6,6,0.823,0.246,24
67,69.162,0,5,3,0.92,0.21,4,,,66,79.062,one_point,5,6,0.849,0.211,28,,,,1308,76.849,uniform,5,6,0.943,0.139,26
68,100.825,0,5,3,0.859,0.182,4,,,67,69.162,one_point,5,6,0.92,0.21,28,,,,806,77.007,one_point,5,6,0.946,0.247,26
69,103.741,0,5,3,0.858,0.18,4,,,68,100.825,one_point,5,6,0.859,0.182,28,,,,403,77.088,one_point,5,6,0.846,0.113,24
70,161.677,0,5,3,0.859,0.177,4,,,69,103.741,one_point,5,6,0.858,0.18,28,,,,1205,77.18,two_point,4,6,0.836,0.144,24
71,109.083,2,5,2,0.935,0.215,4,,,70,161.677,one_point,5,6,0.859,0.177,28,,,,132,77.209,one_point,6,6,0.844,0.291,22
72,98.188,2,5,2,0.925,0.238,4,,,71,109.083,uniform,5,4,0.935,0.215,28,,,,8,77.288,one_point,6,4,0.852,0.114,26
73,97.261,2,5,2,0.92,0.236,4,,,72,98.188,uniform,5,4,0.925,0.238,28,,,,1034,77.384,one_point,5,6,0.942,0.196,24
74,154.399,2,5,2,0.917,0.246,4,,,73,97.261,uniform,5,4,0.92,0.236,28,,,,1357,77.53,one_point,5,6,0.857,0.233,26
75,119.797,2,5,2,0.925,0.232,4,,,74,154.399,uniform,5,4,0.917,0.246,28,,,,876,77.55,one_point,5,6,0.919,0.202,26
76,102.284,2,5,2,0.936,0.241,4,,,75,119.797,uniform,5,4,0.925,0.232,28,,,,1210,77.698,one_point,5,6,0.931,0.257,26
77,101.478,2,5,2,0.929,0.244,4,,,76,102.284,uniform,5,4,0.936,0.241,28,,,,942,77.931,one_point,5,6,0.88,0.202,26
78,110.146,0,5,3,0.881,0.226,4,,,77,101.478,uniform,5,4,0.929,0.244,28,,,,532,77.961,uniform,6,6,0.845,0.118,28
79,162.649,0,4,3,0.835,0.216,3,,,78,110.146,one_point,5,6,0.881,0.226,28,,,,832,77.982,one_point,5,6,0.947,0.192,26
80,103.888,0,4,3,0.881,0.217,3,,,79,162.649,one_point,4,6,0.835,0.216,26,,,,424,78.148,two_point,6,6,0.835,0.113,28
81,172.474,0,4,3,0.835,0.224,3,,,80,103.888,one_point,4,6,0.881,0.217,26,,,,900,78.234,one_point,5,6,0.895,0.136,26
82,91.05,0,4,3,0.95,0.223,3,,,81,172.474,one_point,4,6,0.835,0.224,26,,,,1042,78.311,one_point,5,6,0.946,0.218,26
83,96.707,0,4,3,0.88,0.223,3,,,82,91.05,one_point,4,6,0.95,0.223,26,,,,844,78.346,one_point,5,6,0.936,0.216,26
84,110.964,0,4,3,0.88,0.222,3,,,83,96.707,one_point,4,6,0.88,0.223,26,,,,727,78.519,uniform,5,6,0.94,0.104,28
85,147.277,0,2,3,0.846,0.101,5,,,84,110.964,one_point,4,6,0.88,0.222,26,,,,1145,78.742,two_point,5,6,0.853,0.149,24
86,153.929,0,2,3,0.847,0.17,5,,,85,147.277,one_point,2,6,0.846,0.101,30,,,,1061,78.84,one_point,5,6,0.95,0.1,26
87,107.447,0,2,3,0.846,0.102,5,,,86,153.929,one_point,2,6,0.847,0.17,30,,,,1428,78.842,two_point,5,6,0.938,0.212,26
88,152.63,0,2,3,0.846,0.171,5,,,87,107.447,one_point,2,6,0.846,0.102,30,,,,226,78.867,one_point,6,6,0.813,0.213,22
89,183.122,0,2,3,0.848,0.211,5,,,88,152.63,one_point,2,6,0.846,0.171,30,,,,1220,79.051,one_point,3,6,0.944,0.218,28
90,142.716,0,2,3,0.848,0.169,5,,,89,183.122,one_point,2,6,0.848,0.211,30,,,,66,79.062,one_point,5,6,0.849,0.211,28
91,128.798,0,2,3,0.847,0.173,5,,,90,142.716,one_point,2,6,0.848,0.169,30,,,,627,79.173,two_point,3,6,0.946,0.132,28
92,90.26,0,6,3,0.824,0.266,1,,,91,128.798,one_point,2,6,0.847,0.173,30,,,,1274,79.412,one_point,3,6,0.927,0.11,28
93,119.507,0,6,3,0.869,0.201,1,,,92,90.26,one_point,6,6,0.824,0.266,22,,,,1351,79.415,one_point,5,6,0.847,0.278,26
94,119.69,0,6,3,0.853,0.272,1,,,93,119.507,one_point,6,6,0.869,0.201,22,,,,948,79.425,one_point,5,6,0.869,0.192,24
