number,value,crossover_type,k,n_elites,p_crossover_max,p_crossover_min,pop_size,rosenbrock_mean,salomon_mean,whitley_mean
499,22.128333190170995,one_point,3,2,0.907414157529955,0.2731121402666634,30,15.185352695603859,0.3198733493251971,50.879773525583936
1243,22.577105948661202,one_point,3,2,0.9236293712430839,0.22355042655327806,30,13.6478108330424,0.27987334639965294,53.80363366654156
1988,22.59339257208825,one_point,3,2,0.8454070887311749,0.26697283508825004,30,13.862123521631409,0.23987334638685742,53.678180848246484
111,22.6643391409131,uniform,4,2,0.8813486520643893,0.21038889110432524,30,13.871243640533388,0.25987334659028205,53.86190043561563
1154,22.713865711774137,uniform,3,6,0.8972778371589795,0.27871447511387587,28,13.682351503818447,0.299873347561758,54.159372283942204
239,22.73725893762895,two_point,3,6,0.835226269519775,0.2741336532465306,28,21.195493654277406,0.33987334597591545,46.67640981263353
1701,22.77129158558814,two_point,3,2,0.8484834527654941,0.22573852951487475,20,13.625639601302854,0.2598733460090984,54.428361809452475
490,22.78036947314492,uniform,3,6,0.9128409497070922,0.26602542551603564,30,13.786297471936598,0.35987334643,54.19493760106816
782,22.796665953945976,one_point,3,2,0.9181738290961485,0.2752971588787075,26,13.919664318034597,0.23989804138821133,54.23043550241512
597,22.893084374377025,one_point,3,2,0.8409798138804857,0.2540382391225329,22,13.052453198225868,0.29987334609684596,55.32692657880837
1159,22.94799813094059,uniform,3,2,0.9191610494163951,0.27185194431189563,30,13.640731092472418,0.2398733463341614,54.96338995401519
1798,22.979932881242366,one_point,3,4,0.8906368544447543,0.23401464132180552,30,13.726843560031451,0.31987334590289385,54.89308173779276
697,23.037036755390503,uniform,3,2,0.8366384465262028,0.25030459214525574,28,12.797597558000769,0.2798733459229666,56.03363936224777
2127,23.053776814558603,one_point,3,2,0.8864188922867474,0.21680433837490334,30,13.37034579463553,0.2598733469383512,55.531111302101934
411,23.08932715173586,uniform,3,6,0.9071720600765933,0.25404666853392643,28,13.51337346983837,0.37987334586939797,55.3747346394998
1527,23.109698046213975,one_point,4,4,0.8919990366300887,0.22351240168260914,22,13.816081300184948,0.31987334616464225,55.19313949229233
47,23.189184640644157,two_point,3,6,0.8518691629292701,0.1936393488900015,30,14.340005280423194,0.339873346116113,54.88767529539317
774,23.191619982331563,two_point,3,2,0.9109988599791762,0.27376880780616547,26,13.724169983921353,0.2198733463273134,55.63081661674603
2094,23.19919002861501,one_point,3,2,0.9019674650117693,0.23606530831738662,30,14.30457974483225,0.259873346447372,55.03311699456541
1241,23.289297971986155,one_point,3,2,0.8940385669112303,0.22496911741476786,30,14.263278325863391,0.2398733461312391,55.364742243963825
460,23.333469098529246,uniform,3,2,0.9187903118811376,0.274346300836489,28,14.716053100548375,0.27987334641355716,55.0044808486258
1809,23.4566955140433,one_point,3,2,0.8841058382242934,0.10008510621896843,30,13.095894605357879,0.219873346096569,57.05431859067545
2008,23.462227131326728,one_point,3,2,0.8828232807629017,0.2392708673305859,30,13.076971221479425,0.25987334625747016,57.04983682624329
2148,23.485778255692612,one_point,3,4,0.8921266857698805,0.2315115205926707,26,13.652717951674024,0.27987334602278996,56.52474346938103
974,23.502450419319747,uniform,3,2,0.9131998686774061,0.2566088622881555,30,13.839638743244347,0.25987334639987997,56.407839168315014
1714,23.53676392189429,one_point,3,2,0.8813253065293452,0.24037277314417987,30,15.098933433423392,0.27987334653808926,55.23148498572139
315,23.568830322287806,one_point,3,2,0.9088160505835442,0.19712692480854338,30,13.334127881097539,0.29987334634453555,57.072489739421336
762,23.684381055575752,two_point,3,2,0.9072888240849816,0.2712262712108033,30,13.27522908479277,0.29987334595596266,57.478040735978524
1142,23.720058148556035,two_point,3,2,0.9124565605985719,0.26194839196103087,30,12.868202996711048,0.25987334694149944,58.03209810201556
441,23.720698325460855,uniform,3,2,0.9114438787222134,0.2674173108739281,28,13.79892728204731,0.29987334731206966,57.06329434702318
1733,23.74861219533702,one_point,3,2,0.8859826302190853,0.10883562068254456,30,15.149568067249234,0.2198733462270283,55.87639517253481
1015,23.74954553662035,uniform,3,2,0.8417339953783786,0.2125565728779032,30,13.365625263735302,0.21987334611316584,57.66313800001258
1191,23.794595293828394,two_point,2,2,0.8489225275500777,0.2793469782298313,22,13.945841688907858,0.3198733474364236,57.11807084514089
1974,23.798710572836153,one_point,3,4,0.8901173619102397,0.23397024623817736,30,13.728137747035797,0.2398733476045784,57.428120623868075
1523,23.807493180999444,one_point,3,2,0.8867530721428152,0.24165476483071574,30,13.442861202146872,0.2798733466622483,57.69974499418921
536,23.82597233096611,two_point,3,2,0.9082602544237853,0.2822027259525313,30,12.617109865713015,0.23987334715212186,58.62093378003319
663,23.905247270010594,two_point,3,2,0.837010008538597,0.23755554072382543,30,19.815246529095894,0.19987334748160857,51.700621933454286
552,23.960168379217787,two_point,3,2,0.8423245089438743,0.27830753931067187,30,13.755211703795203,0.2798733465962055,57.84542008726195
1543,23.961514482180096,one_point,3,2,0.8807423328629217,0.2501532065497805,20,13.728804505786206,0.27987334649298845,57.8758655942611
875,23.979349248318623,one_point,3,2,0.8825137117509373,0.2587775949982655,28,14.56391593284054,0.2998733538264242,57.074258458288895
1257,23.98270566897393,one_point,3,2,0.9188278294330453,0.21913641382802967,30,13.551495854310849,0.279873346172935,58.11674780643801
2108,24.01280232911751,one_point,4,2,0.8825341267218192,0.26083007948767417,22,13.777974864364268,0.3198733471393278,57.940558775848935
1365,24.045938104715635,one_point,4,2,0.8911828330502358,0.2259267469003605,30,13.2191901731566,0.3198733459494689,58.598750795040836
1998,24.059986065036835,one_point,3,2,0.8916473014022851,0.11282390922021664,20,13.614329904440831,0.319873346618037,58.24575494405163
419,24.088954289619977,uniform,3,6,0.8465521839447231,0.24993809834682842,28,17.032873171459375,0.3598733459265917,54.87411635147396
1787,24.090573344455553,two_point,5,2,0.8156637452959619,0.24868055284013618,30,13.183198917059267,0.33987334588238827,58.74864777042501
1201,24.097221349778618,one_point,3,4,0.8317346113909163,0.2446982302361712,30,13.685730843590338,0.3198733459959962,58.286059859749514
313,24.110657052352284,one_point,3,2,0.9082462629852364,0.18761349505674813,30,13.73293409827898,0.29987334714745145,58.29916371163042
617,24.17406053997527,two_point,3,2,0.8335004436557617,0.22152039370838966,22,13.603912439263208,0.29987334615797373,58.618395834504625
1199,24.18278458048846,one_point,3,4,0.845617873833993,0.21881252724617273,30,14.041575713603573,0.319873345992665,58.186904681869144
900,24.193601609482766,two_point,4,2,0.914306324457966,0.24772158762653046,26,13.83132012282088,0.2998733462062033,58.44961135942121
839,24.200471516784635,uniform,3,2,0.8889836169536506,0.25887216167191435,20,13.782809772822421,0.2598733463910302,58.55873143114046
1205,24.204290832726684,uniform,3,2,0.8555423484471527,0.20720232383764403,20,13.760394288123527,0.2398733485866121,58.61260486146991
1407,24.23922571136019,one_point,3,4,0.8739092055825992,0.216604559185134,30,18.028798911927037,0.29987334642745167,54.38900487572609
2132,24.26566303565328,one_point,3,2,0.8860409083981923,0.2517758663830477,30,12.764783978181004,0.25987334676906326,59.77233178200977
1487,24.274507784776414,one_point,4,2,0.8819985694134582,0.23462111100656305,30,13.387195596326844,0.23987334620963682,59.196454411792764
1101,24.340992863647894,uniform,3,2,0.8351262010319138,0.28059532159572065,22,13.857817877766427,0.2598733460425466,58.905287367134704
1471,24.35840863125284,one_point,3,2,0.8705082952326529,0.24284719792425372,30,13.449977056880138,0.3198733458734065,59.30537549100497
760,24.360582439675266,two_point,3,2,0.8120574592507559,0.26519087638753447,30,13.75971031322606,0.2798733460778982,59.04216365972184
863,24.36805121931792,two_point,3,2,0.9108522443750822,0.27091243367503764,30,13.797102134302083,0.2798733461417656,59.02717817750992
1917,24.376731833119546,one_point,6,4,0.8866973885879311,0.10955819877345346,26,13.557157080637586,0.3398733463148475,59.2331650724062
1548,24.38583696129309,one_point,3,2,0.8881786985127993,0.2368263910837996,30,14.535764261708081,0.2798733462042874,58.3418732759669
180,24.486762982039153,uniform,5,6,0.8613214854767711,0.24853357321335828,24,13.538331079806543,0.37987334646959015,59.54208451984133
2091,24.51793545833527,one_point,3,2,0.8821055550973737,0.25202049732156173,30,13.65851116543377,0.2998733463219899,59.595421863250046
1475,24.559326157835546,one_point,3,2,0.8782646922977274,0.24269540374580217,30,13.80117396803906,0.2798733469681517,59.59693115849943
1665,24.56348079367189,one_point,3,2,0.8028696224085698,0.13218438835620994,22,13.718865209520288,0.23987334823151474,59.731703823263864
501,24.56737135378168,one_point,3,2,0.9101368171102657,0.2715168657356308,30,13.733373424374573,0.25987334653286187,59.7088672904376
2152,24.608975683182052,one_point,3,2,0.8823843719553365,0.19556234032816366,26,13.767445893170736,0.25987334644335297,59.79960780993207
751,24.705860628406587,two_point,3,2,0.833270338593541,0.2503524591966714,28,13.819063603226255,0.31987334711721455,59.9786449348763
1092,24.731189606745374,two_point,3,2,0.8403570006509856,0.25826212460282005,30,13.688592203194451,0.29987334620077544,60.205103270840894
1774,24.776553096635638,one_point,3,2,0.8485386400842757,0.23146647724437305,30,15.143994457184778,0.29987334601505566,58.88579148670708
2123,24.77950417731132,one_point,3,2,0.8609850735311776,0.23874540462481927,30,13.706084438747018,0.2998733459126903,60.332554747274244
1931,24.795304382855747,one_point,3,4,0.8839571716374557,0.18801293871290495,30,13.857406331106521,0.27987334623257587,60.24863347122814
1433,24.818126005191385,one_point,3,4,0.8928818506344505,0.23672032726010833,30,15.51616091800947,0.33987334609222064,58.598343751472456
2064,24.84095919222082,uniform,3,2,0.894370519233272,0.25429276050082783,22,13.387055364531463,0.2398733483984386,60.895948863732556
1708,24.847516067876807,one_point,3,2,0.8183237655117697,0.25453688220533266,26,17.934783706241678,0.29987334595237397,56.307891151436365
